"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C1_NK_NKT_cells_1","9.543503344149057e-26","25.020292169977687","157","49","19","18656","CD96,BCL11B,ITGAL,IKZF1,CLEC2D,PTPRC,PARP8,PDE7A,RESF1,FYB1,NLRC5,SH3KBP1,ADGRE5,EVL,ATM,ETS1,CD44,FYN,LNPEP"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C3_NK_NKT_cells_2","6.558489324547554e-20","19.18319618403399","162","49","16","18656","CD96,BCL11B,IL7R,CD69,IKZF1,CLEC2D,PTPRC,PARP8,RESF1,FYB1,ADGRE5,ETS1,INPP4B,CD44,FYN,SYNE2"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C28_NK_NKT_cells_6","1.0049966368177964e-15","14.997835391590673","99","49","12","18656","BCL11B,IL7R,CD69,PTPRC,PARP8,PDE7A,CDC42SE2,EML4,ETS1,SMCHD1,CD44,FYN"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Big_Groups_Brain_Immune","3.0295068096154567e-15","14.51862806697498","148","49","13","18656","CD96,ACAP1,CD69,SKAP1,RIPOR2,ITGAL,CLEC2D,PTPRC,ARHGAP15,FYB1,ADGRE5,ETS1,CD44"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Brain_Naive_like_T_cell","7.211091875037622e-15","14.141998971147206","158","49","13","18656","CD96,IL7R,ACAP1,CD69,SKAP1,RIPOR2,CLEC2D,PTPRC,ARHGAP15,CDC42SE2,ETS1,CD44,PRMT2"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C5_NK_NKT_cells_3","2.01419730142786e-14","13.695897990225049","126","49","12","18656","CD96,CD69,ITGAL,IKZF1,PTPRC,PARP8,PDE7A,FYB1,AOAH,ADGRE5,ETS1,FYN"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Brain_Effector_T_cell","3.251995122268e-14","13.48785011448439","131","49","12","18656","CD96,ACAP1,CD69,SKAP1,RIPOR2,ITGAL,PTPRC,IQGAP2,CDC42SE2,ADGRE5,CD44,FYN"
"scsig.all.v1.0.symbols","na","Gao_Large_Intestine_Adult_CI_Mesenchymal_Cells","6.632596567423673e-13","12.178316418180321","361","49","15","18656","IL7R,ACAP1,CD69,SKAP1,ITGAL,IKZF1,PTPRC,ARHGAP15,ANKRD44,DOCK2,FYB1,INPP5D,DOCK8,FYN,CHST11"
"scsig.all.v1.0.symbols","na","Hay_Bone_Marrow_Naive_T_cell","4.77802328201039e-10","9.32075173838187","1561","49","22","18656","CD96,BCL11B,IL7R,ACAP1,CD69,RIPOR2,CLEC2D,ARHGAP15,PDE7A,RESF1,ANKRD44,FYB1,CDC42SE2,EML4,EVL,ATM,ETS1,DOCK10,ANK3,SMCHD1,INPP4B,PRMT2"
"scsig.all.v1.0.symbols","na","Hu_Fetal_Retina_Microglia","1.0904141786385805e-8","7.962408510012284","382","49","12","18656","IKZF1,PTPRC,LCP2,DOCK2,FYB1,INPP5D,AOAH,MYO1F,SH3KBP1,DOCK10,DOCK8,RUNX1"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hMgl","0.0000011125751260780601","5.953670653839554","576","49","12","18656","IL7R,CARD11,CD69,IKZF1,PTPRC,ANKRD44,FYB1,INPP5D,MYO1F,DOCK8,RUNX1,CD44"
"scsig.all.v1.0.symbols","na","Zhong_PFC_Major_Types_Microglia","0.000008329255626314473","5.079393809136921","437","49","10","18656","IKZF1,PTPRC,DOCK2,FYB1,INPP5D,AOAH,MYO1F,ATM,DOCK8,RUNX1"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C30_Immune_Cells_Macrophages","0.00010311816344545934","3.986664830454939","10","49","3","18656","IL7R,PTPRC,ARHGAP15"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Big_Groups_Microglia","0.00025657852533637285","3.590779695265036","371","49","8","18656","IKZF1,PTPRC,DOCK2,FYB1,INPP5D,AOAH,MYO1F,DOCK8"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Brain_B_cell","0.00032348393204702426","3.4901472865458825","100","49","5","18656","ACAP1,CD69,RIPOR2,CLEC2D,ARHGAP15"
"scsig.all.v1.0.symbols","na","Gao_Large_Intestine_24W_C11_Paneth_Like_Cell","0.0010281088917622595","2.987960884769754","323","49","7","18656","IKZF1,PTPRC,LCP2,DOCK2,FYB1,INPP5D,AOAH"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Brain_Myeloid","0.0016001147785821331","2.795848863645954","139","49","5","18656","RIPOR2,ITGAL,MYO1F,ADGRE5,CD44"
"scsig.all.v1.0.symbols","na","Zheng_Cord_Blood_C10_Multilymphoid_Progenitor","0.006216941963565186","2.2064231868414366","97","49","4","18656","CARD11,ITGAL,IQGAP2,EVL"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C12_NK_NKT_cells_4","0.01473155292103159","1.8317514697570654","49","49","3","18656","CD69,ITGAL,PTPRC"
