"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C29_MVECs_2","4.980067125805534e-9","8.302764803390792","314","43","11","18656","EDN1,BMX,SELP,GJA5,NOS3,PTPRB,MECOM,VWF,HYAL2,MGP,EFNB2"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hEndo","3.282305081770718e-7","6.483821054857632","889","43","14","18656","EDN1,FAM189A1,NOS3,PTGS2,SMAD6,PTPRB,MECOM,VWF,TMC7,HYAL2,KIAA1211L,CXCL2,CPNE5,EFNB2"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C10_MVECs_1","0.000008800969992353233","5.055469459769026","270","43","8","18656","EDN1,NOS3,SMAD6,PTPRB,VWF,HYAL2,MGP,EFNB2"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C32_MVECs_3","0.000021642292554288812","4.664696736590363","125","43","6","18656","BMX,NOS3,SMAD6,PTPRB,VWF,HYAL2"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C9_LSECs_1","0.00030741954978540613","3.512268517792832","305","43","7","18656","EDN1,NOS3,SMAD6,PTPRB,PLXNA2,HYAL2,EFNB2"
"scsig.all.v1.0.symbols","na","Gao_Large_Intestine_24W_C2_MKI67pos_Progenitor","0.00032402185937535844","3.4894256901456604","113","43","5","18656","NOS3,PTPRB,HMCN1,VWF,HYAL2"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C13_LSECs_2","0.0023838525267785666","2.62272061503387","283","43","6","18656","EDN1,NOS3,SMAD6,PTPRB,HYAL2,EFNB2"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C20_LSECs_3","0.0030598589249868943","2.5142985962347892","296","43","6","18656","NOS3,PTPRB,PLXNA2,HYAL2,SEMA3F,EFNB2"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Brain_Endothelial_1","0.003199398463106351","2.4949316681522893","439","43","7","18656","EDN1,NOS3,PTPRB,HMCN1,MECOM,VWF,HYAL2"
"scsig.all.v1.0.symbols","na","Muraro_Pancreas_Endothelial_Cell","0.009232938452261023","2.0346600594824302","362","43","6","18656","SMAD6,PTPRB,MECOM,PLXNA2,VWF,EFNB2"
