"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C2_Kupffer_Cells_1","2.7517782525222284e-37","36.56038656592566","200","49","26","18656","VSIG4,MS4A6A,LILRB4,ITGAX,FCER1G,CD163,CLEC7A,WDFY4,FGD2,MNDA,C1QB,ALOX5,FPR3,CD86,MRC1,LYZ,PLEK,LST1,TYROBP,HLA-DQA1,CYBB,SYK,NCF2,FCGR2A,ADAM28,HCK"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C6_Kupffer_Cells_2","9.972579183583089e-36","35.001192506649446","228","49","26","18656","SLC11A1,VSIG4,MS4A6A,LILRB4,ITGAX,FCER1G,CD163,CLEC7A,FGD2,MARCO,C1QB,ALOX5,CD14,CD86,MRC1,LILRB1,LYZ,PLEK,LST1,TYROBP,HLA-DQA1,CYBB,SPI1,FCGR2A,SLC1A3,HCK"
"scsig.all.v1.0.symbols","na","Gao_Large_Intestine_24W_C11_Paneth_Like_Cell","1.6464540305315426e-33","32.78345039040922","323","49","27","18656","MS4A6A,LILRB4,ITGAX,FCER1G,CD163,CLEC7A,WDFY4,CHI3L1,FGD2,IFI30,ITGAM,C1QB,CD14,CD86,MRC1,LILRB1,LYZ,PLEK,LST1,TYROBP,HLA-DQA1,CYBB,SPI1,NCF2,TFEC,FCGR2A,HCK"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Big_Groups_Microglia","1.429162775764578e-26","25.844918304035907","371","49","24","18656","VSIG4,LILRB4,ITGAX,FCER1G,FGD2,IFI30,MNDA,ITGAM,C1QB,APOC1,SPP1,CD14,CD86,MRC1,PLEK,LST1,TYROBP,CYBB,SYK,TFEC,FCGR2A,ADAM28,SLC1A3,HCK"
"scsig.all.v1.0.symbols","na","Zhong_PFC_Major_Types_Microglia","7.495461625235992e-25","24.125201614967935","437","49","24","18656","VSIG4,LILRB4,ITGAX,FCER1G,FGD2,IFI30,MNDA,ITGAM,C1QB,ALOX5,APOC1,SPP1,CD14,CD86,MRC1,PLEK,LST1,TYROBP,CYBB,SYK,TFEC,FCGR2A,ADAM28,HCK"
"scsig.all.v1.0.symbols","na","Hu_Fetal_Retina_Microglia","1.3652219636240571e-24","23.86479673342885","382","49","23","18656","VSIG4,LILRB4,ITGAX,FCER1G,CLEC7A,CSF2RA,FGD2,MNDA,ITGAM,C1QB,ALOX5,SPP1,CD14,CD86,PLEK,LST1,TYROBP,CYBB,SYK,SPI1,FCGR2A,ADAM28,HCK"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C25_Kupffer_Cells_4","5.339429164372334e-23","22.272505170689552","174","49","18","18656","SLC11A1,ITGAX,FCER1G,CD163,CLEC7A,MNDA,CD86,LILRB1,LYZ,PLEK,LST1,TYROBP,HLA-DQA1,CYBB,SYK,NCF2,FCGR2A,HCK"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C18_NK_NKT_cells_5","5.024570950275209e-22","21.29890101686932","121","49","16","18656","SLC11A1,ITGAX,FCER1G,CD163,CLEC7A,MNDA,ALOX5,LILRB1,LYZ,PLEK,LST1,TYROBP,CYBB,NCF2,FCGR2A,HCK"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hMgl","5.521144980270514e-22","21.25797084853007","576","49","24","18656","VSIG4,LILRB4,FCER1G,CD163,CLEC7A,FGD2,MNDA,C1QB,ALOX5,APOC1,SPP1,CD14,CD86,MRC1,PLEK,TYROBP,CYBB,SYK,SPI1,NCF2,TFEC,LPL,FCGR2A,ADAM28"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C23_Kupffer_Cells_3","2.2740741082052237e-19","18.643195386499574","221","49","17","18656","SLC11A1,ITGAX,FCER1G,CD163,CLEC7A,MNDA,ITGAM,ALOX5,CD14,LYZ,PLEK,LST1,TYROBP,CYBB,NCF2,FCGR2A,HCK"
