"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C6_Kupffer_Cells_2","0.000004108826244196449","5.386282223980822","228","46","8","18656","MARCO,TLR2,SLC11A1,C3AR1,CYBB,LYZ,LILRB4,HK3"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C18_NK_NKT_cells_5","0.000026567996648996257","4.575641192186942","121","46","6","18656","TLR2,SLC11A1,C3AR1,CYBB,LYZ,HK3"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C23_Kupffer_Cells_3","0.000057420852928863594","4.240930360785041","221","46","7","18656","TREM1,TLR2,SLC11A1,CYBB,CLEC12A,LYZ,HK3"
"scsig.all.v1.0.symbols","na","Hay_Bone_Marrow_Neutrophil","0.0008392193515348652","3.0761245103150814","1356","46","13","18656","LINC00607,AQP9,TREM1,KCNK13,SULT1B1,TLR2,FBP1,SLC11A1,CLEC5A,CYBB,CLEC12A,COX6B1,ATP6AP2"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Brain_Myeloid","0.0012222678956960921","2.9128335953444164","139","46","5","18656","SERPINA1,CLEC12A,LYZ,ARF6,CHCHD10"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C2_Kupffer_Cells_1","0.006893588679524324","2.1615546332492297","200","46","5","18656","TLR2,C3AR1,CYBB,LYZ,LILRB4"
"scsig.all.v1.0.symbols","na","Menon_Fetal_Kidney_8_Connecting_Tubule_Cells","0.02619025069126172","1.5818603445182364","267","46","5","18656","CA2,CA12,COX6B1,CHCHD10,ATP6AP2"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C25_Kupffer_Cells_4","0.04689737607157625","1.3288514555687998","174","46","4","18656","TLR2,SLC11A1,CYBB,LYZ"
