"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Olig","2.0866573294559735e-9","8.680548864851799","753","49","16","18656","PRIMA1,ATP10B,ZNF536,ERBB3,PEX5L,SOX10,TMEM132B,BCAS1,CDH19,COBL,FA2H,S100B,PLP1,IL1RAPL1,KANK4,MAL"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hNbGaba","1.0211161397491446e-7","6.990924859300292","702","49","14","18656","XKR4,LRRTM4,SORCS1,NRXN1,SORCS3,PEX5L,PCSK2,TMEM132B,CADM2,CHL1,TAFA5,LRRC7,SCN7A,NCAM1"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hGaba","0.000004271892050217639","5.369379730367877","1106","49","15","18656","GRIK3,XKR4,NRXN1,SORCS3,PEX5L,FRMD5,TMEM132B,ESRRG,CADM2,CHL1,TAFA5,LRRC7,SHC4,NLGN4X,NCAM1"
"scsig.all.v1.0.symbols","na","Zhong_PFC_Major_Types_OPC","0.000006883795266955048","5.162172054636443","91","49","6","18656","SLC35F1,SOX10,CADM2,S100B,GPM6B,ITGB8"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hRN","0.000009252690458821144","5.033731966555603","333","49","9","18656","LRRTM4,NRXN1,SORCS3,PEX5L,PCSK2,TMEM132B,ESRRG,NLGN4X,NCAM1"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hDA1","0.000013243557015552632","4.877995354416389","585","49","11","18656","GRIK3,XKR4,LRRTM4,NRXN1,PCSK2,FRMD5,TMEM132B,EPB41L4B,CHL1,LRRC7,NCAM1"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hOPC","0.000020043685250823818","4.6980224256713115","365","49","9","18656","LRRTM4,NRXN1,SORCS3,ERBB3,SLC35F1,CADM2,GPM6B,TAFA5,ITGB8"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hDA2","0.00003694970558414927","4.432389017720814","514","49","10","18656","GRIK3,XKR4,LRRTM4,PEX5L,PCSK2,TMEM132B,EPB41L4B,CHL1,LRRC7,NCAM1"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hDA","0.00030059871856639786","3.522012875115473","507","49","9","18656","GRIK3,XKR4,NRXN1,TMEM132B,COBL,CHL1,LRRC7,NLGN4X,NCAM1"
"scsig.all.v1.0.symbols","na","Hu_Fetal_Retina_Muller","0.009298546270587052","2.0315849434903486","42","49","3","18656","GPM6B,PLP1,NCAM1"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Big_Groups_Glial","0.020856732947884357","1.6807537195828943","133","49","4","18656","CADM2,S100B,GPM6B,ITGB8"
"scsig.all.v1.0.symbols","na","Zhong_PFC_C4_PTGDS_pos_OPC","0.030431453960135135","1.5166772973369147","147","49","4","18656","ERBB3,BCAS1,CADM2,PLP1"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hRgl2a","0.04578430377500708","1.339283385582726","598","49","7","18656","NRXN1,EPB41L4B,GPM6B,TAFA5,PLP1,ITGB8,NLGN4X"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hRgl2b","0.04981789158987968","1.30261465677256","439","49","6","18656","MPZ,EPB41L4B,GPM6B,PLP1,ITGB8,NLGN4X"
