"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C10_MVECs_1","3.881024418956691e-21","20.411053624720747","270","49","19","18656","NOSTRIN,EMCN,RAMP3,ADGRL4,CYYR1,PLVAP,SPRY1,LIFR,JAM2,SHANK3,ADAMTS9,ADGRF5,SLCO2A1,ADCY4,NOTCH4,TSPAN7,TEK,PALMD,PIK3R3"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Brain_Endothelial_1","1.0470572062040356e-15","14.980029589897049","439","49","18","18656","NOSTRIN,EMCN,ADGRL4,DIPK2B,CYYR1,LIFR,JAM2,ADGRF5,SLCO2A1,ADCY4,NOTCH4,ABCB1,RASIP1,PREX2,TEK,PKP4,PALMD,PLEKHG1"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C29_MVECs_2","2.937364873363336e-15","14.532042102967855","314","49","16","18656","EMCN,RAMP3,ADGRL4,CYYR1,PLVAP,SPRY1,LIFR,JAM2,ADAMTS9,ADGRF5,SLCO2A1,NOTCH4,TSPAN7,PREX2,TEK,PALMD"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hEndo","4.7959980833986086e-15","14.319120999128145","889","49","22","18656","NOSTRIN,EMCN,ADGRL4,DIPK2B,MYO5C,CYYR1,RAPGEF3,PLVAP,LIFR,JAM2,SHANK3,ADGRF5,SLCO2A1,ADCY4,ABCB1,RASIP1,TEK,MYRIP,PKP4,PALMD,PLEKHG1,ICA1"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C13_LSECs_2","1.4099827089648737e-11","10.850786213193688","283","49","13","18656","NOSTRIN,EMCN,RAMP3,ADGRL4,LIFR,SHANK3,ADGRF5,SLCO2A1,NOTCH4,TSPAN7,RASIP1,PREX2,TEK"
"scsig.all.v1.0.symbols","na","Gao_Large_Intestine_24W_C2_MKI67pos_Progenitor","1.5266636636770837e-11","10.816256630984192","113","49","10","18656","EMCN,RAMP3,DIPK2B,CYYR1,PLVAP,JAM2,ADGRF5,SLCO2A1,TSPAN7,PALMD"
"scsig.all.v1.0.symbols","na","Muraro_Pancreas_Endothelial_Cell","1.5598749871988564e-11","10.806910205841191","362","49","14","18656","EMCN,ADGRL4,DIPK2B,CYYR1,PLVAP,LIFR,SHANK3,ADAMTS9,ADGRF5,SLCO2A1,NOTCH4,TEK,PKP4,PLEKHG1"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C9_LSECs_1","3.659577479206634e-11","10.43656905368801","305","49","13","18656","NOSTRIN,NR5A2,ADGRL4,SPRY1,LIFR,SHANK3,ADAMTS9,ADGRF5,NOTCH4,TSPAN7,RASIP1,PREX2,PLEKHG1"
"scsig.all.v1.0.symbols","na","Gao_Large_Intestine_Adult_CJ_Immune_Cells","8.158545924529184e-11","10.08838723747468","503","49","15","18656","EMCN,RAMP3,CYYR1,RAPGEF3,PLVAP,RYR3,LIFR,JAM2,SHANK3,ADGRF5,NOTCH4,RASIP1,PREX2,TEK,TSHZ2"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Big_Groups_Brain_Endothelial","6.464039777734144e-9","8.189495979709138","365","49","12","18656","NOSTRIN,EMCN,ADGRL4,DIPK2B,CYYR1,JAM2,ADGRF5,SLCO2A1,ADCY4,NOTCH4,ABCB1,TEK"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C20_LSECs_3","1.1620643975506761e-8","7.934769804195291","296","49","11","18656","NR5A2,ADGRL4,LIFR,SHANK3,ADAMTS9,ADGRF5,NOTCH4,RASIP1,PREX2,PLCB1,PLEKHG1"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C22_Endothelial_Cells_glomerular_capillaries","1.231594108112441e-7","6.909532397407988","137","49","8","18656","NOSTRIN,EMCN,LIFR,SHANK3,ADGRF5,SLCO2A1,PREX2,TEK"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C24_Endothelial_Cells_AEA_and_DVR","0.000006840048363011477","5.1649408275613515","152","49","7","18656","EMCN,ADGRL4,ADAMTS9,ADGRF5,THSD7A,PLCB1,PALMD"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hSert","0.000011148874763067425","4.952768963006031","451","49","10","18656","CCDC85A,SHANK3,FAM155A,ZNF385D,DNM3,TSPAN7,PLCB1,CCSER1,TSHZ2,ICA1"
"scsig.all.v1.0.symbols","na","Menon_Fetal_Kidney_9_Endothelial_Cells","0.000013606732014925692","4.866246168573799","102","49","6","18656","NOSTRIN,EMCN,ADGRL4,LIFR,ADGRF5,NOTCH4"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C23_Endothelial_Cells_AVR","0.00004745946489238743","4.323677162780995","126","49","6","18656","EMCN,ADGRL4,TLL1,ADAMTS9,ADGRF5,ZNF385D"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hDA1","0.0009441718940492741","3.0249489317177103","585","49","9","18656","CCDC85A,FAM155A,ZNF385D,DNM3,MYRIP,PLCB1,CCSER1,TSHZ2,FNBP1L"
